ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
mata1289,Matacoan,,,,mata1289,,,,,,,family,
iber1250,Iberian,Eurasia,40.624,0.212401,iber1250,xib,,,,iber1250,Iberian,language,extinct
puin1248,Puinave,South America,3.92974,-67.6886,puin1248,pui,,,,puin1248,Puinave,language,shifting
momb1255,Mombum-Koneraw,,,,momb1255,,,,,,,family,
worr1236,Worrorran,,,,worr1236,,,,,,,family,
cull1235,Culli,South America,-7.878618,-78.116456,cull1235,,,,,cull1235,Culli,language,extinct
kuot1243,Kuot,Papunesia,-3.06952,151.537,kuot1243,kto,,,,kuot1243,Kuot,language,shifting
kemb1250,Kembra,Papunesia,-3.89065,140.434,kemb1250,xkw,,,,kemb1250,Kembra,language,moribund
fura1235,Furan,,,,fura1235,,,,,,,family,
song1307,Songhay,,,,song1307,,,,,,,family,
kung1259,Kungarakany,Australia,-12.7,130.881,kung1259,ggk,,,,kung1259,Kungarakany,language,extinct
morb1239,Mor (Bomberai Peninsula),Papunesia,-2.85747,132.845,morb1239,moq,,,,morb1239,Mor (Bomberai Peninsula),language,moribund
aust1305,Austroasiatic,,,,aust1305,,,,,,,family,
ijoi1239,Ijoid,,,,ijoi1239,,,,,,,family,
sent1261,Sentanic,,,,sent1261,,,,,,,family,
ayma1253,Aymaran,,,,ayma1253,,,,,,,family,
mose1249,Mosetén-Chimané,South America,-14.64448,-67.83756,mose1249,cas,,,,mose1249,Mosetén-Chimané,language,threatened
taru1236,Taruma,South America,-0.90963,-59.904786,taru1236,tdm,,,,taru1236,Taruma,language,nearly extinct
tana1288,Tanahmerah,Papunesia,-2.5523,133.18,tana1288,tcm,,,,tana1288,Tanahmerah,language,shifting
dibi1240,Dibiyaso,Papunesia,-7.82096,142.779,dibi1240,dby,,,,dibi1240,Dibiyaso,language,shifting
yoku1255,Yokutsan,,,,yoku1255,,,,,,,family,
lafo1243,Lafofa,Africa,10.3357,30.7331,lafo1243,laf,,,,lafo1243,Lafofa,language,shifting
huit1251,Huitotoan,,,,huit1251,,,,,,,family,
hurr1239,Hurro-Urartian,,,,hurr1239,,,,,,,family,
jodi1234,Jodi-Saliban,,,,jodi1234,,,,,,,family,
guai1237,Guaicurian,North America,24.1666666667,-110.3,guai1237,,,,,guai1237,Guaicurian,language,extinct
utoa1244,Uto-Aztecan,,,,utoa1244,,,,,,,family,
mirn1241,Mirndi,,,,mirn1241,,,,,,,family,
maid1262,Maiduan,,,,maid1262,,,,,,,family,
suki1244,Suki-Gogodala,,,,suki1244,,,,,,,family,
mong1343,Ulmapo,,,,mong1343,,,,,,,family,
tonk1249,Tonkawa,North America,30.25,-96.75,tonk1249,tqw,,,,tonk1249,Tonkawa,language,extinct
mawe1251,Mawes,Papunesia,-2.36944,139.752,mawe1251,mgk,,,,mawe1251,Mawes,language,shifting
heib1242,Heibanic,,,,heib1242,,,,,,,family,
garr1260,Garrwan,Australia,,,garr1260,gbc,,,,,,family,
east2499,East Kutubu,,,,east2499,,,,,,,family,
leco1242,Leco,South America,-15.0092,-67.8818,leco1242,lec,,,,leco1242,Leco,language,extinct
buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,,,,buru1296,Burushaski,language,shifting
sout1516,South Bird's Head Family,,,,sout1516,,,,,,,family,
east2433,East Strickland,,,,east2433,,,,,,,family,
beto1236,Betoi-Jirara,South America,7.223906,-71.420238,beto1236,,,,,beto1236,Betoi-Jirara,language,extinct
mass1263,Massep,Papunesia,-1.74679,138.294,mass1263,mvs,,,,mass1263,Massep,language,moribund
movi1243,Movima,South America,-13.8115,-65.6348,movi1243,mzp,,,,movi1243,Movima,language,shifting
nucl1710,Nuclear-Macro-Je,,,,nucl1710,,,,,,,family,
ural1272,Uralic,,,,ural1272,,,,,,,family,
anga1289,Angan,,,,anga1289,,,,,,,family,
chim1301,Chimariko,North America,41.0,-123.0,chim1301,cid,,,,chim1301,Chimariko,language,extinct
left1242,Left May,,,,left1242,,,,,,,family,
geel1240,Geelvink Bay,,,,geel1240,,,,,,,family,
cari1283,Cariban,,,,cari1283,,,,,,,family,
west1503,Western Tasmanian,,,,west1503,,,,,,,family,
apma1241,Ap Ma,Papunesia,-4.35147,144.085,apma1241,kbx,,,,apma1241,Ap Ma,language,shifting
turk1311,Turkic,,,,turk1311,,,,,,,family,
jarr1235,Jarrakan,,,,jarr1235,,,,,,,family,
sape1238,Sapé,South America,4.0735661,-62.9666521,sape1238,spc,,,,sape1238,Sapé,language,extinct
zapa1251,Zaparoan,,,,zapa1251,,,,,,,family,
rash1249,Rashad,,,,rash1249,,,,,,,family,
nara1262,Nara,Africa,15.3251,37.499,nara1262,nrb,,,,nara1262,Nara,language,not endangered
cahu1265,Cahuapanan,,,,cahu1265,,,,,,,family,
mani1293,Maningrida,,,,mani1293,,,,,,,family,
anem1249,Anem,Papunesia,-5.54836,148.993,anem1249,anz,,,,anem1249,Anem,language,shifting
jira1235,Jirajaran,South America,7.26666666667,-68.4,jira1235,,,,,jira1235,Jirajaran,language,extinct
ando1256,Andoque,South America,-0.53751,-72.0869,ando1256,ano,,,,ando1256,Andoque,language,shifting
mixe1287,Mixed Language,,,,mixe1287,,,,,,,family,
west2434,Western Daly,,,,west2434,,,,,,,family,
yura1255,Yuracaré,South America,-16.7479,-65.1224,yura1255,yuz,,,,yura1255,Yuracaré,language,shifting
yuch1247,Yuchi,North America,35.96146,-95.03933,yuch1247,yuc,,,,yuch1247,Yuchi,language,nearly extinct
mpur1239,Mpur,Papunesia,-0.7489,133.166,mpur1239,akc,,,,mpur1239,Mpur,language,shifting
koia1260,Koiarian,,,,koia1260,,,,,,,family,
hibi1242,Hibito-Cholon,,,,hibi1242,,,,,,,family,
lake1255,Lakes Plain,,,,lake1255,,,,,,,family,
usku1243,Usku,Papunesia,-3.63853,140.502,usku1243,ulf,,,,usku1243,Usku,language,shifting
karo1304,Karok,North America,41.8228,-123.315,karo1304,kyh,,,,karo1304,Karok,language,nearly extinct
yare1250,Yareban,,,,yare1250,,,,,,,family,
kart1248,Kartvelian,,,,kart1248,,,,,,,family,
kamu1264,Kamula-Elevala,,,,kamu1264,,,,,,,family,
kolp1236,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kolp1236,kol,,,,kolp1236,Kol (Papua New Guinea),language,shifting
anda1286,Andaqui,South America,2.74999,-76.0,anda1286,ana,,,,anda1286,Andaqui,language,extinct
waka1280,Wakashan,,,,waka1280,,,,,,,family,
limi1242,Limilngan-Wulna,,,,limi1242,,,,,,,family,
tebe1251,Teberan,,,,tebe1251,,,,,,,family,
xinc1237,Xincan,,,,xinc1237,,,,,,,family,
guat1253,Guató,South America,-17.8696,-57.2897,guat1253,gta,,,,guat1253,Guató,language,nearly extinct
nort1547,Northern Daly,,,,nort1547,,,,,,,family,
sand1273,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,,,,sand1273,Sandawe,language,threatened
kawe1237,Kawesqar,,,,kawe1237,,,,,,,family,
chon1248,Chono,South America,-44.298692,-73.879395,chon1248,,,,,chon1248,Chono,language,extinct
tuca1253,Tucanoan,,,,tuca1253,,,,,,,family,
nduu1242,Ndu,,,,nduu1242,,,,,,,family,
omur1241,Omurano,South America,-4.816667,-75.4,omur1241,omu,,,,omur1241,Omurano,language,extinct
pauw1244,Pauwasi,,,,pauw1244,,,,,,,family,
katl1246,Katla-Tima,,,,katl1246,,,,,,,family,
nucl1708,Nuclear Torricelli,,,,nucl1708,,,,,,,family,
taia1239,Taiap,Papunesia,-4.05047,144.506,taia1239,gpn,,,,taia1239,Taiap,language,moribund
cofa1242,Cofán,South America,0.276675,-77.0643,cofa1242,con,,,,cofa1242,Cofán,language,shifting
