Glottocode,language,loweredLarynxImplosive,elevation
adam1253,Adamawa Fulfulde,2,370
avok1242,Avokaya,2,853
baan1242,Baangi,2,410
baka1272,Baka (Cameroon),2,548
band1352,Bandi,1,385
basa1284,Basa (Cameroon),1,179
bhel1238,Bhele,2,1142
cent2018,Central-Eastern Niger Fulfulde,2,471
dann1241,Dan,2,324
doya1240,Doyayo,2,309
dual1243,Duala,2,9
enge1239,Engenni,2,20
gbay1287,Gbaya-Bossangoa,2,476
gbay1288,Gbaya (Sudan),2,596
godi1239,Godié,1,205
gude1246,Gude,2,874
guin1254,Guinea Kpelle,1,446
haus1257,Hausa,8,600
jurm1239,Jur Modo,2,492
kako1242,Kako,2,594
kara1478,Karang,2,596
komo1260,Komo (Democratic Republic of Congo),2,586
lako1244,Lakota Dida,1,165
lele1276,Lele (Chad),2,399
lend1245,Lendu,6,1676
libe1247,Liberia Kpelle,1,285
loma1260,Loma (Liberia),2,474
lugb1240,Lugbara,2,1225
maas1239,Maasina Fulfulde,2,298
mang1394,Mangbetu,3,736
mboc1235,Mbo (Cameroon),1,835
mofu1248,Mofu-Gudur,2,730
mund1326,Mündü,2,872
mwag1236,Mwaghavul,2,1330
mwan1250,Mwan,1,281
ngam1268,Ngambay,2,479
ngas1240,Ngas,2,1130
ngba1285,Ngbaka Minagende,1,363
nort2775,Northwest Gbaya,2,961
nort2780,Northern Dagara,1,305
nort2819,Northern Bobo Madaré,1,467
nucl1417,Igbo,2,8
nucl1418,Bassa,1,56
nucl1683,Daba,2,813
nyab1255,Nyabwa,1,254
park1239,Parkwa,2,541
pula1262,Pular,2,123
pula1263,Pulaar,2,47
sere1260,Sereer,5,4
siss1242,Sissala of Burkina Faso,1,292
sout2774,Southeast Ijo,2,7
sout2789,Central Dagaare,1,342
taro1263,Tarok,2,210
tika1246,Tikar,2,815
tour1242,Toura (Côte d'Ivoire),1,546
vute1244,Vute,2,894
wann1242,Wan,1,274
west2454,Western Niger Fulfulde,2,293
yaou1238,Yaouré,1,235
zulg1242,Zulgo-Gemzek,2,719
