,language,raisedLarynxEjective,elevation
aari1239,Aari,2,1513
alab1254,Alaba-K'abeena,8,2073
anfi1235,Anfillo,9,1472
arbo1245,Arbore,6,504
argo1244,Argobba,5,2752
bamb1262,Bambassi,4,1454
benc1235,Bench,14,2236
bili1260,Bilin,4,1678
bora1271,Borana-Arsi-Guji Oromo,5,733
burj1242,Burji,4,1406
dime1235,Dime,8,1906
east2652,Eastern Oromo,8,1408
fali1285,Fali,1,776
gamo1243,Gamo,3,1077
gumu1244,Northern Gumuz,6,837
hadi1240,Hadiyya,10,2166
hara1271,Harari,3,1841
huaa1248,East Taa,21,1127
inor1238,Inor,15,2043
kamb1316,Kambaata,12,2120
kist1241,Kistane,5,2644
komo1258,Komo (Sudan),4,767
koor1239,Koorete,8,2321
kung1261,North-Central Ju,7,1653
kwam1249,Kwama,4,1286
lagw1237,Lagwan,4,300
meen1242,Me'en,3,1009
mesq1240,Mesqan,5,2134
mpad1242,Mpade,4,290
nort2795,Zimbabwean Ndebele,7,1179
opuu1239,T'apo,3,419
orma1241,Orma,4,141
sand1273,Sandawe,2,1208
seba1251,Sebat Bet Gurage,15,2272
silt1240,Silt'e,6,2047
tigr1271,Tigrinya,5,2332
tsam1247,Tsamai,5,741
uduk1239,Uduk,4,862
wola1242,Wolaytta,10,1324
xamt1239,Xamtanga,4,2165
xhos1239,Xhosa,10,1748
yems1235,Yemsa,4,2227
0,Adamawa Fulfulde,0,370
1,Anyin,0,181
2,Anyin Morofo,0,79
3,Akan,0,166
4,Anufo,0,137
5,Dibole,0,321
6,Bana,0,851
7,Baka (Sudan),0,885
8,Aja (Sudan),0,609
9,Bila,0,788
10,Busa,0,243
11,Hausa States Fulfulde,0,363
12,Herero,0,1144
13,Cebaara Senoufo,0,390
14,Koyra Chiini Songhay,0,264
15,Bafia,0,577
16,Lega-Shabunda,0,633
17,Limbum,0,1057
18,Myene,0,26
19,Ntcham,0,243
20,Tunen,0,708
21,Matumbi,0,257
22,Yao,0,1194
23,Umbundu,0,1239
24,Ndonga,0,1095
25,Mbukushu,0,1010
26,Diriku,0,1093
27,Kwangali,0,1124
28,Soninke,0,157
29,Koyraboro Senni Songhai,0,261
30,Lele (Chad),0,399
31,Mongo,0,381
32,Longto,0,441
33,Xwela Gbe,0,32
34,Western Xwla Gbe,0,5
35,Kotafon Gbe,0,60
36,Gbesi Gbe,0,62
37,Machame,0,1072
38,Mada (Nigeria),0,470
39,Mbe,0,124
40,Ngwe,0,992
41,Jowulu,0,512
42,Yala,0,65
43,Mambwe-Lungu,0,1249
44,Kete,0,889
45,Kwese,0,795
46,Southern Ma'di,0,659
47,Moru,0,651
48,Logo,0,901
49,Afitti,0,568
50,Avatime,0,171
51,Abua,0,10
52,Dghwede,0,606
53,Eloyi,0,126
54,Gikyode,0,257
55,Ginyanga,0,306
56,Huba,0,541
57,Pan,0,242
58,Krache,0,132
59,Krim,0,16
60,West Central Banda,0,637
61,South Central Dinka,0,432
62,Foodo,0,375
63,Jola-Esulalu,0,18
64,Jumjum,0,487
65,Burun,0,575
66,Olu'bo,0,721
67,Maay,0,496
68,Mabaan,0,428
69,Nizaa,0,1263
71,Siwu,0,234
72,Sherbro,0,13
74,Cherepon,0,201
75,Palor,0,100
77,Sekpele,0,301
78,Mampruli,0,152
79,Tonga (Zambia),0,944
80,Jaad-Badyara,0,62
81,Selee,0,364
82,Tiv,0,208
83,Liko,0,763
84,Yansi,0,355
85,Budu,0,778
86,Kele-Foma,0,424
87,Lengola,0,468
88,Keliko,0,1167
89,Wongo,0,483
90,Mwali Comorian,0,257
91,Afar,0,323
92,Mundang,0,390
93,Mono (Cameroon),0,233
