Glottocode,language,loweredLarynxImplosive,elevation
aari1239,Aari,2,1513
abua1244,Abua,2,10
adam1253,Adamawa Fulfulde,6,370
ajas1235,Aja (Sudan),2,609
ango1258,Angolar,1,104
arbo1245,Arbore,4,504
arin1244,Aringa,2,870
avik1243,Avikam,1,11
bade1248,Bade,4,341
bafi1243,Bafia,4,577
bagi1246,Bagirmi,3,302
baka1272,Baka (Cameroon),2,548
baka1274,Baka (Sudan),2,885
bala1302,Balanta-Ganja,1,21
bana1305,Bana,2,851
bank1256,Bankon,1,84
bare1279,Barain,2,395
bela1255,Belanda Viri,2,501
bela1256,Belanda Bor,1,514
bila1255,Bila,2,788
buam1238,Buamu,1,319
budu1250,Budu,3,778
burj1242,Burji,1,1406
buru1301,Burun,1,575
buwa1243,Buwal,2,600
dann1241,Dan,5,324
defa1248,Defaka,1,6
dege1246,Degema,2,1
dghw1239,Dghwede,2,606
didi1258,Didinga,4,1818
dime1235,Dime,1,1906
east2563,Eastern Cham,2,24
fali1285,Fali,2,776
gaaa1245,Gaa,2,545
gamo1243,Gamo,2,1077
gava1241,Gavar,2,622
gbay1281,Gbaya-Mbodomo,2,697
glav1244,Glavda,2,410
gude1246,Gude,2,874
guin1254,Guinea Kpelle,1,446
gumu1244,Northern Gumuz,3,837
hdii1240,Hdi,2,588
heib1243,Ebang,2,835
huba1236,Huba,2,541
kako1242,Kako,3,594
kamb1299,Kambera,2,325
kamw1239,Kamwe,2,576
kang1288,Kanga,10,473
kare1338,Kare (Central African Republic),2,997
katc1249,Katcha-Kadugli-Miri,15,473
keig1242,Keiga,3,511
keli1248,Keliko,2,1167
kima1244,Kimaragang,2,258
koal1240,Koalib-Rere,1,732
kofy1242,Pan,2,242
komo1258,Komo (Sudan),3,767
koor1239,Koorete,2,2321
kron1241,Krongo,5,453
kuoo1238,Kuo,2,568
kwam1250,Kwami,2,708
lagw1237,Lagwan,2,300
lama1288,Lamang,2,1015
lele1266,Lele (Guinea),2,925
lele1276,Lele (Chad),2,399
leng1258,Lengola,3,468
lese1243,Lese,2,973
lika1243,Liko,2,763
logo1259,Logo,2,901
loma1260,Loma (Liberia),1,474
maay1238,Maay,3,496
mann1248,Mann,1,244
mawa1270,Mawa (Chad),2,544
mayo1261,Mayogo,3,760
mbay1241,Mbay,2,460
mbuk1243,Mbuko,2,480
meen1242,Me'en,2,1009
mere1246,Merey,2,787
mofu1248,Mofu-Gudur,2,730
molo1266,Moloko,2,454
mono1269,Mono (Cameroon),2,233
moro1284,Morokodo,3,574
moru1253,Moru,2,651
mpad1242,Mpade,2,290
mund1325,Mundang,2,390
muya1243,Muyang,2,410
mwal1237,Mwali Comorian,2,257
myen1241,Myene,2,26
ndai1238,Ndai,2,636
ndog1248,Ndogo,2,460
ngas1238,Ngasa,2,1807
ngaz1238,Ngazidja Comorian,2,475
ngit1239,Ngiti,6,1617
niel1243,Niellim,2,358
nige1253,Hausa States Fulfulde,6,363
nort3047,North Giziga,2,488
nucl1683,Daba,2,813
nucl1696,Tangale,4,565
nyam1285,Nyam,2,244
olub1238,Olu'bo,3,721
opuu1239,T'apo,1,419
orma1241,Orma,1,141
otor1240,Otoro,1,752
palo1243,Palor,2,100
pang1287,Pangwa,2,1313
pero1241,Pero,2,319
prin1242,Principense,2,469
rong1268,Ronga,2,69
saot1239,Sãotomense,2,1073
saya1246,Saya,2,596
shwa1239,Shwai,1,721
sooo1256,Soo,4,1901
sout2828,Southern Ma'di,4,659
suga1248,Nizaa,4,1263
tese1238,Tese,2,618
tiag1235,Tiagbamrin Aizi,1,17
tour1242,Toura (Côte d'Ivoire),1,546
tsam1247,Tsamai,5,741
tsuv1239,Tsuvadi,2,257
tuli1249,Tulishi,5,623
tumt1243,Tumtum,4,487
tuni1251,Tunia,2,364
tupu1244,Tupuri,2,353
uduk1239,Uduk,2,862
vame1236,Vame,2,412
wand1278,Wandala,3,339
wuzl1236,Wuzlam,2,535
xhos1239,Xhosa,1,1748
