Glottocode,language,raisedLarynxEjective,elevation
aari1239,Aari,2,1513
alab1254,Alaba-K'abeena,8,2073
anfi1235,Anfillo,9,1472
arbo1245,Arbore,6,504
argo1244,Argobba,5,2752
bamb1262,Bambassi,4,1454
benc1235,Bench,14,2236
bili1260,Bilin,4,1678
bora1271,Borana-Arsi-Guji Oromo,5,733
burj1242,Burji,4,1406
dime1235,Dime,8,1906
east2652,Eastern Oromo,8,1408
fali1285,Fali,1,776
gamo1243,Gamo,3,1077
gumu1244,Northern Gumuz,6,837
hadi1240,Hadiyya,10,2166
hara1271,Harari,3,1841
huaa1248,East Taa,21,1127
inor1238,Inor,15,2043
kamb1316,Kambaata,12,2120
kist1241,Kistane,5,2644
komo1258,Komo (Sudan),4,767
koor1239,Koorete,8,2321
kung1261,North-Central Ju,7,1653
kwam1249,Kwama,4,1286
lagw1237,Lagwan,4,300
meen1242,Me'en,3,1009
mesq1240,Mesqan,5,2134
mpad1242,Mpade,4,290
nort2795,Zimbabwean Ndebele,7,1179
opuu1239,T'apo,3,419
orma1241,Orma,4,141
sand1273,Sandawe,2,1208
seba1251,Sebat Bet Gurage,15,2272
silt1240,Silt'e,6,2047
tigr1271,Tigrinya,5,2332
tsam1247,Tsamai,5,741
uduk1239,Uduk,4,862
wola1242,Wolaytta,10,1324
xamt1239,Xamtanga,4,2165
xhos1239,Xhosa,10,1748
yems1235,Yemsa,4,2227
