,language,loweredLarynxImplosive,elevation
adam1253,Adamawa Fulfulde,2,370
bafa1247,Bafaw-Balong,1,98
bata1285,Batanga,3,46
bett1235,Betta Kurumba,1,1042
chra1242,Chrau,2,182
cuvo1236,Cuvok,2,718
egaa1242,Ega,5,109
eggo1239,Eggon,1,161
ekpe1253,Ekpeye,2,15
furu1242,Furu,2,406
gbar1246,Gbari,2,156
gbay1281,Gbaya-Mbodomo,2,697
gida1247,Gidar,2,394
hueh1236,Huehuetla Tepehua,2,331
iban1261,Ibani,1,5
kala1381,Kalabari,2,6
kara1476,Karadjeri,1,135
khar1287,Kharia,3,376
kiny1244,Kinyarwanda,1,1611
kiri1254,Kirike,1,22
kwaz1243,Kwaza,2,176
lada1244,Leh-Kenhat,1,5176
lyel1241,Lyélé,2,275
madi1261,Madi (Papua New Guinea),4,67
mamb1294,Mambai,2,229
mamm1241,Mam,1,1816
mono1270,Mono (Democratic Republic of Congo),2,413
muna1247,Muna,1,76
nepa1253,Nepali Kurux,2,77
ngad1261,Ngad'a,2,1186
nucl1695,Bole,3,450
pagi1243,Pagibete,2,484
phai1238,Prai,2,677
saba1268,Sabanê,2,312
sera1259,Saraiki,4,121
shab1252,Shabo,3,1683
shon1251,Shona,2,1216
sida1246,Sidamo,1,1781
sind1272,Sindhi,2,20
suri1267,Tirma-Chai,4,1104
tsuv1239,Tsuvadi,2,257
tuka1248,Tukang Besi North,2,137
vaii1241,Vai,1,17
0,Fwe,0,940
1,Yeyi,0,948
2,Cavineña,0,173
3,Chamicuro,0,129
4,Chechen,0,178
5,Chepang,0,1595
6,Eastern Mari,0,45
7,Lealao Chinantec,0,1326
8,Chol,0,260
9,Barbareño,0,315
10,Coeur d'Alene,0,803
11,Comanche,0,332
12,Cupeño,0,1443
13,Denya,0,133
14,Mufian,0,173
15,Usarufa,0,1982
17,Binumarien,0,883
19,Esimbi,0,693
20,Fang (Equatorial Guinea),0,625
21,Golin,0,1743
22,Guajajára,0,308
23,Bininj Kun-Wok,0,72
24,Haya,0,1435
26,Huichol,0,1170
27,Huaylas Ancash Quechua,0,4528
28,San Mateo del Mar Huave,0,5
29,Jauja Wanca Quechua,0,4697
30,Luyi,0,1030
31,Imonda,0,284
32,Ingush,0,661
33,I'saka,0,542
34,Yalunka,0,490
35,Izere,0,1041
36,Madi,0,96
37,Towa,0,1733
38,Lijili,0,138
39,Kabyle,0,482
40,Kayabí,0,345
41,Kamasau,0,96
42,Kanoê,0,142
43,Kenswei Nsei,0,1403
44,Eastern Karaboro,0,264
45,Karipúna Creole French,0,66
46,Kenyang,0,165
47,Chong of Chanthaburi,0,21
48,Kokota,0,44
49,Bakole,0,31
50,Konni,0,174
52,Kulung (Nepal),0,1775
53,Kuot,0,564
54,Kusunda,0,2429
55,Kuvi,0,554
56,Langi,0,1236
57,Lao,0,153
58,Lavukaleve,0,37
59,Lunda,0,1225
60,Luchazi,0,1061
61,Oroko,0,386
62,Macedonian,0,919
63,Mada (Cameroon),0,491
64,Manam,0,1346
65,Bamenyam,0,1222
