,language,raisedLarynxEjective,elevation
barb1263,Barbareño,9,315
chec1245,Chechen,2,178
chim1301,Chimariko,7,1740
chol1282,Chol,5,260
coeu1236,Coeur d'Alene,14,803
gbar1246,Gbari,1,156
halk1245,Halkomelem,8,94
huas1242,Huastec,5,69
hueh1236,Huehuetla Tepehua,3,331
ingu1240,Ingush,6,661
jeme1245,Towa,5,1733
jica1244,Jicarilla Apache,4,2401
kich1262,K'iche',6,1366
lake1258,Lake Miwok,5,516
lazz1240,Laz,5,1469
mamm1241,Mam,7,1816
mesc1238,Mescalero-Chiricahua Apache,4,2442
ming1252,Mingrelian,6,109
mola1238,Molale,5,161
nisg1240,Nisga'a,2,22
nort2966,Northern Pomo,6,360
nort2984,Northern Pame,9,1375
nuuc1236,Nuu-chah-nulth,8,614
osse1243,Ossetian,5,852
sida1246,Sidamo,4,1781
siss1243,Sissano,5,15
tana1290,Tanacross,5,0
tolo1259,Tolowa-Chetco,5,81
tzot1259,Tzotzil,5,997
tzut1248,Tz'utujil,6,2101
yuch1247,Yuchi,9,247
yuki1243,Yuki,1,681
0,Fwe,0,940
1,Yeyi,0,948
2,Cavineña,0,173
3,Chamicuro,0,129
4,Chepang,0,1595
5,Eastern Mari,0,45
6,Lealao Chinantec,0,1326
7,Chrau,0,182
8,Comanche,0,332
9,Cupeño,0,1443
10,Cuvok,0,718
11,Denya,0,133
12,Nepali Kurux,0,77
13,Mufian,0,173
14,Usarufa,0,1982
16,Binumarien,0,883
17,Eggon,0,161
18,Ekpeye,0,15
20,Esimbi,0,693
21,Fang (Equatorial Guinea),0,625
22,Furu,0,406
23,Karadjeri,0,135
24,Golin,0,1743
25,Guajajára,0,308
26,Bininj Kun-Wok,0,72
27,Haya,0,1435
29,Huichol,0,1170
30,Huaylas Ancash Quechua,0,4528
31,San Mateo del Mar Huave,0,5
32,Jauja Wanca Quechua,0,4697
33,Luyi,0,1030
34,Ibani,0,5
35,Imonda,0,284
36,I'saka,0,542
37,Yalunka,0,490
38,Izere,0,1041
39,Madi,0,96
40,Lijili,0,138
41,Kabyle,0,482
42,Gidar,0,394
43,Kayabí,0,345
44,Kamasau,0,96
45,Kanoê,0,142
46,Kenswei Nsei,0,1403
47,Eastern Karaboro,0,264
48,Karipúna Creole French,0,66
49,Kenyang,0,165
50,Kharia,0,376
51,Chong of Chanthaburi,0,21
52,Kinyarwanda,0,1611
53,Kirike,0,22
54,Kokota,0,44
55,Bakole,0,31
56,Konni,0,174
58,Kulung (Nepal),0,1775
59,Kuot,0,564
60,Kusunda,0,2429
61,Kuvi,0,554
62,Kwaza,0,176
63,Leh-Kenhat,0,5176
64,Langi,0,1236
65,Lao,0,153
66,Lavukaleve,0,37
67,Bafaw-Balong,0,98
68,Lunda,0,1225
69,Luchazi,0,1061
70,Oroko,0,386
71,Macedonian,0,919
72,Mada (Cameroon),0,491
73,Madi (Papua New Guinea),0,67
74,Manam,0,1346
75,Bamenyam,0,1222
76,Manange,0,3673
77,Ngemba,0,1220
78,Marra,0,10
79,Maybrat-Karon,0,114
80,Gbaya-Mbodomo,0,697
81,Medumba,0,1311
82,Mmen,0,925
83,Moken,0,0
84,Mosetén-Chimané,0,385
85,Mpongmpong,0,594
86,Mungaka,0,1374
88,Mwotlap,0,31
89,Namia,0,63
90,Ndemli,0,115
91,Quechan,0,36
92,Nankina,0,1140
93,Nandi,0,2146
94,Kimaama,0,6
95,Naki,0,738
96,Michoacán Nahuatl,0,148
97,Naga Pidgin,0,1361
98,Ngoshie,0,1254
99,Ngalakgan,0,123
100,Nangikurrunggurr,0,113
101,Isebe,0,258
102,Ngombale,0,1708
103,Northern Khmer,0,220
104,Northern Paiute,0,1165
105,Nubi,0,1134
106,Nuer,0,409
107,Elip,0,440
108,Nyamwezi,0,1272
109,Nyeu,0,136
110,Obolo,0,22
112,Faiwol,0,1233
113,Oku,0,2019
114,Palauan,0,19
115,Orokaiva,0,201
116,Yil,0,818
117,Ningil,0,418
118,Dobu,0,32
119,Samo,0,138
120,Uri,0,1275
121,Boikin,0,235
122,Prai,0,677
123,Mal,0,996
124,Rama,0,29
125,Matbat,0,158
126,Rundi,0,1271
127,Nyankole,0,1431
128,Marwari (India),0,364
129,Samba Leko,0,912
130,Southern Samo,0,276
131,Samre of Siem Reap,0,32
132,Sabanê,0,312
134,Sasak,0,297
135,Savara,0,260
136,Sayula Popoluca,0,70
137,Secoya,0,211
138,Seediq,0,1174
