Glottocode,language,loweredLarynxImplosive,elevation
adam1253,Adamawa Fulfulde,2,370
bafa1247,Bafaw-Balong,1,98
bata1285,Batanga,3,46
bett1235,Betta Kurumba,1,1042
chra1242,Chrau,2,182
cuvo1236,Cuvok,2,718
egaa1242,Ega,5,109
eggo1239,Eggon,1,161
ekpe1253,Ekpeye,2,15
furu1242,Furu,2,406
gbar1246,Gbari,2,156
gbay1281,Gbaya-Mbodomo,2,697
gida1247,Gidar,2,394
hueh1236,Huehuetla Tepehua,2,331
iban1261,Ibani,1,5
kala1381,Kalabari,2,6
kara1476,Karadjeri,1,135
khar1287,Kharia,3,376
kiny1244,Kinyarwanda,1,1611
kiri1254,Kirike,1,22
kwaz1243,Kwaza,2,176
lada1244,Leh-Kenhat,1,5176
lyel1241,Lyélé,2,275
madi1261,Madi (Papua New Guinea),4,67
mamb1294,Mambai,2,229
mamm1241,Mam,1,1816
mono1270,Mono (Democratic Republic of Congo),2,413
muna1247,Muna,1,76
nepa1253,Nepali Kurux,2,77
ngad1261,Ngad'a,2,1186
nucl1695,Bole,3,450
pagi1243,Pagibete,2,484
phai1238,Prai,2,677
saba1268,Sabanê,2,312
sera1259,Saraiki,4,121
shab1252,Shabo,3,1683
shon1251,Shona,2,1216
sida1246,Sidamo,1,1781
sind1272,Sindhi,2,20
suri1267,Tirma-Chai,4,1104
tsuv1239,Tsuvadi,2,257
tuka1248,Tukang Besi North,2,137
vaii1241,Vai,1,17
