Glottocode,language,raisedLarynxEjective,elevation
barb1263,Barbareño,9,315
chec1245,Chechen,2,178
chim1301,Chimariko,7,1740
chol1282,Chol,5,260
coeu1236,Coeur d'Alene,14,803
gbar1246,Gbari,1,156
halk1245,Halkomelem,8,94
huas1242,Huastec,5,69
hueh1236,Huehuetla Tepehua,3,331
ingu1240,Ingush,6,661
jeme1245,Towa,5,1733
jica1244,Jicarilla Apache,4,2401
kich1262,K'iche',6,1366
lake1258,Lake Miwok,5,516
lazz1240,Laz,5,1469
mamm1241,Mam,7,1816
mesc1238,Mescalero-Chiricahua Apache,4,2442
ming1252,Mingrelian,6,109
mola1238,Molale,5,161
nisg1240,Nisga'a,2,22
nort2966,Northern Pomo,6,360
nort2984,Northern Pame,9,1375
nuuc1236,Nuu-chah-nulth,8,614
osse1243,Ossetian,5,852
sida1246,Sidamo,4,1781
siss1243,Sissano,5,15
tana1290,Tanacross,5,0
tolo1259,Tolowa-Chetco,5,81
tzot1259,Tzotzil,5,997
tzut1248,Tz'utujil,6,2101
yuch1247,Yuchi,9,247
yuki1243,Yuki,1,681
