,language,loweredLarynxImplosive,elevation
sind1272,Sindhi,4,20
1,Apucikwar,0,58
2,Angami Naga,0,469
3,Ao Naga,0,605
4,Apatani,0,424
5,Assamese,0,46
6,Awadhi,0,128
7,Badaga,0,1981
8,Balti,0,5605
9,Lambadi,0,361
10,Bengali,0,8
11,Bhili,0,703
12,Mundari,0,50
13,Boro (Ethiopia),0,840
14,Brokskat,0,3231
15,Bundeli,0,281
16,Chaudangsi,0,1690
17,Chokri Naga,0,1854
18,Darma,0,1535
19,Gata',0,1174
20,Gade Lohar,0,219
21,Galo,0,621
22,Garo,0,114
23,Gujari,0,862
24,Gujarati,0,105
25,Bodo Gadaba,0,979
26,Halbi,0,424
27,Hindi,0,416
28,Ho,0,135
29,Irula of the Nilgiri,0,32
30,Jaunsari,0,1143
31,Juang,0,282
32,Kangri,0,674
33,Kannada,0,709
34,Saurashtra,0,214
35,Hills Karbi,0,127
36,Kashmiri,0,1623
37,Jennu Kurumba,0,1940
38,Kharia,0,376
39,Khasi,0,38
40,Khezha Naga,0,1413
41,Kodava,0,948
42,Northwestern Kolami,0,265
43,Konda-Dora,0,959
44,Mudhili Gadaba,0,60
45,Maharashtrian Konkani,0,723
46,Korra Koraga,0,102
47,Korku,0,485
48,Kota (India),0,1456
49,Koya,0,111
50,Kui (India),0,490
51,Kumaoni,0,1278
52,Kurukh,0,284
53,Kuvi,0,554
54,Leh-Kenhat,0,5176
55,Lepcha,0,1197
56,Lotha Naga,0,511
57,Mizo,0,102
58,Maithili,0,62
59,Malayalam,0,153
60,Sauria Paharia,0,137
61,Manipuri,0,312
62,Mao Naga,0,1447
63,Marathi,0,649
64,Kman,0,1780
66,Moyon,0,670
68,Nepali,0,1838
69,Central Nicobarese,0,126
70,Pottangi Ollar Gadaba,0,923
71,Odia,0,139
72,Paite Chin,0,1313
73,Duruwa,0,605
74,Pattani,0,4066
75,Pengo,0,798
76,Eastern Panjabi,0,227
77,Bondo,0,100
78,Sanskrit,0,491
79,Santali,0,30
80,Sumi Naga,0,790
81,Shina,0,3704
82,Sora,0,944
83,Tamil,0,106
84,East-Central Tangkhul Naga,0,1520
85,Pangwa Naga,0,834
86,Telugu,0,440
87,Thado Chin,0,1270
88,Toda,0,347
89,Kok Borok,0,14
90,Tulu,0,86
91,Urali of Idukki,0,550
92,Urdu,0,50
93,Vaagri Booli,0,59
94,Ravula,0,882
95,Yerukula,0,132
