,language,loweredLarynxImplosive,elevation
deni1241,Deni,2,144
embe1259,Emberá-Baudó,2,263
embe1262,Emberá-Chamí,2,1906
esee1248,Ese Ejja,4,221
kara1500,Karajá,1,184
kwaz1243,Kwaza,2,176
nort2972,Northern Emberá,3,234
paum1247,Paumari,2,41
saba1268,Sabanê,2,312
0,Qawasqar,0,80
1,Mapudungun,0,1538
2,Achagua,0,168
3,Apurinã,0,138
4,Lokono,0,7
5,Asháninka,0,497
6,Ajyíninka Apurucayali,0,500
7,Ashéninka Perené,0,956
8,Pichis Ashéninka,0,1033
9,Ucayali-Yurúa Ashéninka,0,324
10,Baniwa do Icana,0,152
11,Baré,0,100
12,Cabiyarí,0,185
13,Caquinte,0,795
14,Chamicuro,0,129
15,Curripaco,0,98
16,Enawené-Nawé,0,371
17,Iñapari,0,278
18,Kinikinao,0,366
19,Machinere,0,249
20,Machiguenga,0,2191
21,Mehináku,0,314
22,Nanti,0,1607
23,Nomatsiguenga,0,890
24,Palikúr,0,42
25,Paraujano,0,65
26,Parecís,0,384
27,Piapoco,0,126
28,Resígaro,0,127
29,Tariana,0,114
30,Terena-Kinikinao-Chane,0,233
31,Wapishana,0,130
32,Baniva de Maroa,0,109
33,Waurá,0,362
34,Wayuu,0,37
35,Xiriâna,0,263
36,Yanesha',0,2474
37,Yavitero,0,120
38,Yawalapití,0,331
39,Yine,0,355
40,Yucuna,0,164
41,Baure,0,137
42,Ignaciano,0,159
43,Madi,0,96
44,Culina,0,224
45,Suruahá,0,124
46,Central Aymara,0,4210
47,Jaqaru,0,2766
48,Awa-Cuaiquer,0,453
49,Cha'palaa,0,122
50,Guambiano,0,1725
51,Tsafiki,0,440
52,Bora,0,70
54,Muinane,0,177
55,Jebero,0,242
56,Shawi,0,1083
57,Akurio,0,205
58,Apalaí,0,354
59,Pará Arára,0,181
60,Bakairí,0,428
61,Galibi Carib,0,6
62,Carijona,0,228
63,Hixkaryána,0,341
64,Ikpeng,0,335
65,Akawaio,0,970
66,Japrería,0,859
67,Kaxuiâna,0,346
68,Kuikúro-Kalapálo,0,283
