,language,raisedLarynxEjective,elevation
call1235,Callawalla,5,2399
cent2142,Central Aymara,10,4210
chip1262,Chipaya,7,3721
cusc1236,Cusco Quechua,5,4573
embe1260,Emberá-Catío,5,14
hupd1244,Hupdë,1,156
iton1250,Itonama,3,169
iyow1239,Iyo'wujwa Chorote,2,269
jaqa1244,Jaqaru,8,2766
kunz1244,Kunza,5,2621
leco1242,Leco,4,496
maca1260,Maca,5,70
niva1238,Nivaclé,5,209
nort2976,North Bolivian Quechua,5,2814
olub1238,Olu'bo,3,721
onaa1245,Selk'nam,4,108
piar1243,Piaroa,5,92
puel1244,Puelche,6,121
qawa1238,Qawasqar,8,80
tehu1242,Tehuelche,5,299
trum1247,Trumai,4,284
uruu1244,Uru,5,3822
vile1241,Vilela,5,54
wich1262,Wichí Lhamtés Nocten,5,656
0,Mapudungun,0,1538
1,Achagua,0,168
2,Apurinã,0,138
3,Lokono,0,7
4,Asháninka,0,497
5,Ajyíninka Apurucayali,0,500
6,Ashéninka Perené,0,956
7,Pichis Ashéninka,0,1033
8,Ucayali-Yurúa Ashéninka,0,324
9,Baniwa do Icana,0,152
10,Baré,0,100
11,Cabiyarí,0,185
12,Caquinte,0,795
13,Chamicuro,0,129
14,Curripaco,0,98
15,Enawené-Nawé,0,371
16,Iñapari,0,278
17,Kinikinao,0,366
18,Machinere,0,249
19,Machiguenga,0,2191
20,Mehináku,0,314
21,Nanti,0,1607
22,Nomatsiguenga,0,890
23,Palikúr,0,42
24,Paraujano,0,65
25,Parecís,0,384
26,Piapoco,0,126
27,Resígaro,0,127
28,Tariana,0,114
29,Terena-Kinikinao-Chane,0,233
30,Wapishana,0,130
31,Baniva de Maroa,0,109
32,Waurá,0,362
33,Wayuu,0,37
34,Xiriâna,0,263
35,Yanesha',0,2474
36,Yavitero,0,120
37,Yawalapití,0,331
38,Yine,0,355
39,Yucuna,0,164
40,Baure,0,137
41,Ignaciano,0,159
42,Deni,0,144
43,Madi,0,96
44,Culina,0,224
45,Paumari,0,41
46,Suruahá,0,124
47,Awa-Cuaiquer,0,453
48,Cha'palaa,0,122
49,Guambiano,0,1725
50,Tsafiki,0,440
51,Bora,0,70
53,Muinane,0,177
54,Jebero,0,242
55,Shawi,0,1083
56,Akurio,0,205
57,Apalaí,0,354
58,Pará Arára,0,181
59,Bakairí,0,428
60,Galibi Carib,0,6
61,Carijona,0,228
62,Hixkaryána,0,341
63,Ikpeng,0,335
64,Akawaio,0,970
65,Japrería,0,859
66,Kaxuiâna,0,346
67,Kuikúro-Kalapálo,0,283
68,Macushi,0,387
69,Mapoyo,0,200
70,Maquiritari,0,1193
71,Panare,0,52
72,Pemon,0,838
73,Pémono,0,169
74,Trió,0,638
75,Waimiri-Atroari,0,83
76,Waiwai,0,409
77,Wayana,0,182
78,Yabarana,0,808
79,Oro Win,0,381
80,Wari',0,153
81,Arhuaco,0,3650
82,Barí,0,87
83,Chibcha,0,212
84,Chimila,0,193
85,Cofán,0,342
86,Cogui,0,1649
87,Border Kuna,0,460
88,Malayo,0,2877
89,Central Tunebo,0,560
90,Woun Meu,0,62
91,Emberá-Baudó,0,263
92,Emberá-Chamí,0,1906
93,Northern Emberá,0,234
94,Epena,0,22
95,Cocama-Cocamilla,0,93
96,Cuiba,0,98
97,Guahibo,0,88
98,Guayabero,0,177
99,Macaguán,0,150
100,Abipon,0,65
101,Kadiwéu,0,86
102,Mocoví,0,64
103,Pilagá,0,119
104,Toba,0,139
105,Amarakaeri,0,266
106,Cholón,0,694
107,Andoque,0,181
108,Aewa,0,216
109,Camsá,0,2387
110,Candoshi-Shapra,0,145
111,Cayubaba,0,141
112,Irántxe-Münkü,0,403
113,Mochica,0,379
114,Movima,0,146
115,Muniche,0,182
116,Páez,0,3472
117,Puinave,0,77
118,Taushiro,0,212
119,Ticuna,0,150
