Glottocode,language,raisedLarynxEjective,elevation
call1235,Callawalla,5,2399
cent2142,Central Aymara,10,4210
chip1262,Chipaya,7,3721
cusc1236,Cusco Quechua,5,4573
embe1260,Emberá-Catío,5,14
hupd1244,Hupdë,1,156
iton1250,Itonama,3,169
iyow1239,Iyo'wujwa Chorote,2,269
jaqa1244,Jaqaru,8,2766
kunz1244,Kunza,5,2621
leco1242,Leco,4,496
maca1260,Maca,5,70
niva1238,Nivaclé,5,209
nort2976,North Bolivian Quechua,5,2814
olub1238,Olu'bo,3,721
onaa1245,Selk'nam,4,108
piar1243,Piaroa,5,92
puel1244,Puelche,6,121
qawa1238,Qawasqar,8,80
tehu1242,Tehuelche,5,299
trum1247,Trumai,4,284
uruu1244,Uru,5,3822
vile1241,Vilela,5,54
wich1262,Wichí Lhamtés Nocten,5,656
