Glottocode,language,raisedLarynxEjective,elevation
amha1245,Amharic,10,3440
cent2144,Central Mazahua,6,2941
chip1261,Chipewyan,6,258
haus1257,Hausa,3,600
hupa1239,Hupa,7,123
iraq1241,Iraqw,1,1767
iton1250,Itonama,3,169
jaqa1244,Jaqaru,8,2766
kaba1278,Kabardian,10,1234
kwak1269,Kwak'wala,7,112
lakk1252,Lak,10,2018
lako1247,Lakota,7,834
mezq1235,Mezquital Otomi,6,2391
nava1243,Navajo,4,2140
nezp1238,Nez Perce,5,1041
nort2938,Northern Haida,7,80
nort2952,Northeast Maidu,4,1271
nucl1235,Eastern Armenian,5,1912
nucl1302,Georgian,6,1338
nuuc1236,Nuu-chah-nulth,8,614
shua1257,Shuar,1,1256
sout2961,Southern Tiwa,4,1532
sout2982,Southeastern Pomo,6,439
sout2991,South Bolivian Quechua,5,4156
squa1248,Squamish,8,50
stra1244,Northern Straits Salish,8,490
taba1266,Tabasco Chontal,5,3
tewa1260,Rio Grande Tewa,6,1687
tigr1270,Tigre,8,2112
tolo1259,Tolowa-Chetco,6,81
tzel1254,Tzeltal,5,2091
wich1260,Wichita,2,390
yuch1247,Yuchi,9,247
zulu1248,Zulu,5,537
zuni1245,Zuni,12,2210
