,language,loweredLarynxImplosive,elevation
afad1236,Afade,2,293
apro1235,Aproumu Aizi,1,24
bert1248,Berta,1,897
cent1989,Central Khmer,2,26
cent2144,Central Mazahua,2,2941
daha1245,Dahalo,3,20
dalo1238,Daloa Bété,1,234
dang1274,Dangaleat,3,459
dann1241,Dan,2,324
darf1239,Dar Fur Daju,3,609
dawr1236,Dawro,1,1936
doya1240,Doyayo,2,309
gbag1258,Gbagyi,1,261
gbay1287,Gbaya-Bossangoa,2,476
hame1242,Hamer-Banna,3,1012
haus1257,Hausa,2,600
ikkk1242,Ik,4,1739
iraq1241,Iraqw,2,1767
isok1239,Isoko,1,16
katc1249,Katcha-Kadugli-Miri,3,473
khmu1256,Khmu,2,953
koho1244,Koho,2,871
kohu1244,Kohumono,1,23
komo1258,Komo (Sudan),2,767
lave1249,Brao,2,581
libe1247,Liberia Kpelle,1,285
marg1265,Marghi Central,2,426
masa1300,Masai,4,1187
mbaa1245,Mba,2,456
mbum1254,Mbum,2,830
movi1243,Movima,2,146
murl1244,Murle,2,452
ndut1239,Ndut,2,35
ngas1240,Ngas,3,1130
niel1243,Niellim,2,358
nort2952,Northeast Maidu,2,1271
nucl1240,Mumuye,1,543
nucl1417,Igbo,3,8
nyan1313,Nyang'i,4,1369
ogbi1239,Ogbia,2,21
popt1235,Popti',2,2060
pwon1235,Pwo Northern Karen,2,1113
sang1328,Sango,1,503
sgaw1245,S'gaw Karen,2,246
sout2994,Southern Nambikuára,2,687
tama1331,Tama (Chad),2,1045
taro1263,Tarok,2,210
tera1251,Tera,5,363
trum1247,Trumai,1,284
viet1252,Vietnamese,2,8
wame1240,Wamey,3,79
yulu1243,Yulu,3,680
zulu1248,Zulu,1,537
0,Achumawi,0,1258
1,Adzera,0,207
2,Eastern Arrernte,0,720
3,Amele,0,161
4,Angaataha,0,1709
5,Aghem,0,1047
6,Ahtena,0,0
7,Hokkaido Ainu,0,216
8,Akan,0,166
9,Akawaio,0,970
10,Alabama,0,89
11,Qawasqar,0,80
12,Alladian,0,14
13,Aleut,0,82
14,Alawa,0,147
15,Northern Tosk Albanian,0,88
16,Amahuaca,0,429
17,Yanesha',0,2474
18,Amharic,0,3440
19,Amo,0,784
20,Alamblak,0,77
21,Guerrero Amuzgo,0,378
22,Andoque,0,181
23,Antakarinya,0,178
24,Apinayé,0,229
25,Apucikwar,0,58
26,Archi,0,1822
27,Arabela,0,182
28,Mapudungun,0,1538
29,Egyptian Arabic,0,6
30,Waorani,0,259
31,Avar,0,646
32,Awngi,0,2024
33,Abipon,0,65
34,North Azerbaijani,0,276
35,Bashkir,0,231
36,Bambara,0,386
37,Waimaha,0,167
38,Baatonum,0,379
39,Batak Toba,0,948
40,Bats,0,1048
41,Northern Bobo Madaré,0,467
42,Central Bai,0,3046
43,Bardi,0,46
44,Indonesian Bajau,0,37
45,Tweed-Albert,0,51
46,Beja,0,348
47,Bengali,0,8
48,Beembe,0,358
49,Bissa,0,263
50,Bakairí,0,428
51,Bella Coola,0,852
52,Muinane,0,177
53,Berom,0,1221
54,Bororo,0,180
55,Breton,0,143
56,Brahui,0,1328
57,Western Bru,0,161
58,Bodo-Mech,0,114
59,Burushaski,0,3309
60,Bulgarian,0,98
61,Burarra,0,36
62,Qaqet,0,941
63,Bribri,0,706
64,Caddo,0,377
65,Nivaclé,0,209
66,Car Nicobarese,0,30
67,Galibi Carib,0,6
68,Cha'palaa,0,122
69,Nyahkur,0,556
70,Kakua,0,155
71,Min Dong Chinese,0,6
72,Chamorro,0,69
73,Chipewyan,0,258
74,Quiotepec Chinantec,0,1441
75,Cherokee,0,1159
76,Chuvash,0,95
77,Western Cham,0,35
78,Upper Chehalis,0,35
79,Chuave,0,2050
80,Chukchi,0,0
81,Mandarin Chinese,0,88
82,Haka Chin,0,896
83,Asháninka,0,497
84,Cofán,0,342
85,Chuanqiandian Cluster Miao,0,1077
86,Island Carib,0,758
87,Tedim Chin,0,1359
88,Western Highland Chatino,0,1344
89,Cubeo,0,192
90,Cayubaba,0,141
91,Dagbani,0,181
92,Nyishi-Hill Miri,0,996
93,Dyirbal,0,858
94,German,0,368
95,Dieri,0,19
96,Tipai,0,297
